Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,77,2715.89,69.48,2785.37,223.82
Drive Thru,134,1841.6,17.63,1859.23,151.83
Take Out,19,248.06,1.5,249.56,20.45
Total,230,4805.55,88.61,4894.16,396.10
