Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1534.0,5719.79,98.9,0.0,5818.69,471.29
Total,1534.0,5719.79,98.9,0.0,5818.69,471.29
