Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,124,3392.99,94.72,3487.71,279.46
Drive Thru,172,2038.37,4.18,2042.55,168.05
Take Out,20,288.43,0.0,288.43,23.78
Total,316,5719.79,98.90,5818.69,471.29
