Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,412.0,2144.85,33.72,0.0,2178.57,176.84
Drive Thru,315.0,1073.09,7.49,0.0,1080.58,88.57
No Revenue Center,31.0,83.17,33.14,0.0,116.31,6.86
Total,758.0,3301.11,74.35,0.0,3375.46,272.27
