Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,61,1568.82,51.19,1620.01,129.32
Drive Thru,108,1409.09,20.51,1429.6,116.29
Take Out,17,323.2,2.65,325.85,26.66
Total,186,3301.11,74.35,3375.46,272.27
