Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,131,2174.03,52.24,0,2226.27,179.27
Dinner,81,2547.87,11.26,0,2559.13,209.94
Lunch,128,2500.5,63.34,0,2563.84,205.96
No Service,49,587.83,0.6,0,588.43,48.45
Total,389,7810.23,127.44,0,7937.67,643.62
