Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,152,4626.56,92.93,4719.49,381.31
Drive Thru,208,2684.12,23.73,2707.85,221.13
Take Out,29,499.55,10.78,510.33,41.18
Total,389,7810.23,127.44,7937.67,643.62
