Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,387.0,1725.77,14.29,0.0,1740.06,142.38
Drive Thru,431.0,1432.45,30.37,0.0,1462.82,118.1
No Revenue Center,13.0,17.56,37.53,0.0,55.09,1.45
Total,831.0,3175.78,82.19,0.0,3257.97,261.93
