Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,102,2637.15,48.82,2685.97,217.45
Drive Thru,187,2278.11,1.0,2279.11,187.69
Take Out,28,418.6,5.36,423.96,34.46
Total,317,5333.86,55.18,5389.04,439.60
