Hour of day,Net sales,Total orders,Total guests
16,267.63,13,20
15,245.32,11,17
19,553.66,15,36
12,484.35,29,44
13,381.72,16,26
8,529.31,40,45
20,194.3,6,13
7,198.76,25,26
6,122.78,11,13
9,671.62,43,65
10,481.96,30,42
14,290.93,13,15
18,435.33,18,31
17,233.71,10,13
11,638.28,37,51
