Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,111,3264.9,26.14,3291.04,268.96
Drive Thru,179,2043.41,10.0,2053.41,168.36
Take Out,27,421.35,0.9,422.25,34.75
Total,317,5729.66,37.04,5766.70,472.07
