Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2664.16,233,11.43,239,12.06,233,11.43,6.13
Table Service,961.32,77,12.48,50,20.81,45,21.36,33.80
Total,3625.48,310,11.70,289,13.58,278,13.04,10.61
