Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,143,3085.8,44.2,0.0,3130.0,254.54
Lunch,163,4237.52,11.55,0.0,4249.07,349.12
No Service,3,82.75,0.0,0.0,82.75,6.81
Total,309,7406.07,55.75,0.0,7461.82,610.47
