Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1637.0,6161.02,55.75,0.0,6216.77,508.01
NA Beverage,576.0,1198.59,0.0,0.0,1198.59,98.62
Liquor,7.0,46.46,0.0,0.0,46.46,3.84
Total,2220.0,7406.07,55.75,0.0,7461.82,610.47
