Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,138,4827.48,47.88,4875.36,397.9
Drive Thru,150,2241.47,6.39,2247.86,184.77
Take Out,21,337.12,1.48,338.6,27.8
Total,309,7406.07,55.75,7461.82,610.47
