Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2260.0,8375.42,122.49,0.0,8497.91,690.39
No Revenue Center,1.0,0.0,11.99,0.0,11.99,0.0
Total,2261.0,8375.42,134.48,0.0,8509.90,690.39
