Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3770.77,257,14.67,258,15.82,257,14.67,11.20
Table Service,4604.65,365,12.62,163,30.58,150,30.70,43.05
Total,8375.42,622,13.47,421,21.53,407,20.58,22.94
