Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,154,4642.99,95.13,4738.12,382.6
Drive Thru,219,3143.11,25.56,3168.67,259.18
Take Out,34,589.32,13.79,603.11,48.61
Total,407,8375.42,134.48,8509.90,690.39
