Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,13.0,57.14,0.0,0.0,57.14,4.72
Dining Room,1178.0,5037.53,41.26,0.0,5078.79,415.38
Drive Thru,786.0,2529.15,47.64,0.0,2576.79,208.72
No Revenue Center,12.0,32.93,32.96,0.0,65.89,2.72
Total,1989.0,7656.75,121.86,0.0,7778.61,631.54
