Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,120,4446.17,62.08,4508.25,366.6
Drive Thru,145,2654.63,47.64,2702.27,219.08
Take Out,33,555.95,12.14,568.09,45.86
Total,298,7656.75,121.86,7778.61,631.54
