Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1531.0,6149.1,118.13,0.0,6267.23,507.26
NA Beverage,423.0,1239.86,3.73,0.0,1243.59,102.24
Liquor,23.0,216.51,0.0,0.0,216.51,17.81
Draft Beer,12.0,51.28,0.0,0.0,51.28,4.23
Total,1989.0,7656.75,121.86,0.0,7778.61,631.54
