Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3290.05,189,17.41,190,18.74,189,17.41,16.93
Table Service,3965.88,357,11.11,124,34.62,124,31.98,47.40
Total,7255.93,546,13.29,314,25.01,313,23.18,29.00
