Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,130,4005.47,136.82,4142.29,330.5
Drive Thru,158,2746.02,41.15,2787.17,226.58
Take Out,25,504.44,4.39,508.83,41.59
Total,313,7255.93,182.36,7438.29,598.67
