Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,19.0,73.82,0.0,0.0,73.82,6.09
Dining Room,1170.0,4845.48,45.09,0.0,4890.57,399.75
Drive Thru,775.0,2251.9,41.15,0.0,2293.05,185.84
No Revenue Center,34.0,84.73,96.12,0.0,180.85,6.99
Total,1998.0,7255.93,182.36,0.0,7438.29,598.67
