Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,13.0,54.37,0.0,0.0,54.37,4.51
Dining Room,752.0,4048.11,28.9,0.0,4077.01,333.73
Drive Thru,425.0,1529.86,11.26,0.0,1541.12,126.25
No Revenue Center,23.0,50.24,24.45,0.0,74.69,4.15
Total,1213.0,5682.58,64.61,0.0,5747.19,468.64
