Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1446.0,4991.72,62.16,0.0,5053.88,411.31
Total,1446.0,4991.72,62.16,0.0,5053.88,411.31
