Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,110,2673.03,38.68,2711.71,220.2
Drive Thru,168,2023.92,18.28,2042.2,166.85
Take Out,22,294.77,5.2,299.97,24.26
Total,300,4991.72,62.16,5053.88,411.31
