Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1077.0,4195.07,62.16,0.0,4257.23,345.9
NA Beverage,363.0,767.2,0.0,0.0,767.2,62.97
Liquor,4.0,21.47,0.0,0.0,21.47,1.78
Bottled Beer,2.0,7.98,0.0,0.0,7.98,0.66
Total,1446.0,4991.72,62.16,0.0,5053.88,411.31
