Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,117,3187.23,126.17,3313.4,262.4
Drive Thru,183,2217.31,15.52,2232.83,182.69
Take Out,24,305.15,0.75,305.9,25.15
Total,324,5709.69,142.44,5852.13,470.24
