Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2606.02,215,12.12,210,13.43,211,12.35,12.16
Table Service,3103.67,242,12.83,129,26.04,113,27.47,40.32
Total,5709.69,457,12.49,339,18.23,324,17.62,21.98
