Hour of day,Net sales,Total orders,Total guests
6,109.61,14,14
7,244.5,22,26
8,456.67,37,46
9,536.66,40,54
10,768.46,45,62
11,762.09,44,65
12,373.77,21,32
13,451.88,23,33
14,525.95,19,33
15,177.22,8,10
16,236.75,12,18
17,322.62,11,18
18,280.37,9,18
19,309.76,12,21
20,153.38,7,7
