Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1619.0,5638.12,57.44,0,5695.56,464.35
No Revenue Center,28.0,71.57,85.0,0,156.57,5.89
Total,1647.0,5709.69,142.44,0,5852.13,470.24
