Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1645.0,5385.69,77.07,0.0,5462.76,443.71
No Revenue Center,30.0,121.73,2.34,0.0,124.07,10.02
Total,1675.0,5507.42,79.41,0.0,5586.83,453.73
