Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2544.69,197,12.92,196,14.05,197,12.92,10.89
Table Service,2962.73,242,12.24,126,25.45,111,26.69,43.31
Total,5507.42,439,12.55,322,18.51,308,17.88,22.57
