Hour of day,Net sales,Total orders,Total guests
6,161.11,9,9
20,208.51,7,16
11,518.54,30,43
8,670.51,43,59
13,448.91,24,30
14,222.24,13,18
16,75.62,6,6
19,398.11,9,15
15,164.54,9,15
17,255.68,11,21
7,390.85,34,41
18,164.67,11,17
9,769.97,44,67
10,452.01,30,39
12,606.15,28,43
