Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2411.42,227,10.62,227,11.50,224,10.77,4.71
Table Service,864.46,75,11.53,45,20.79,41,21.08,37.33
Total,3275.88,302,10.85,272,13.04,265,12.36,9.76
