Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,102,2029.09,39.04,0.0,2068.13,167.44
Lunch,118,2915.29,12.9,0.0,2928.19,240.47
No Service,1,5.97,0.0,0.0,5.97,0.49
Total,221,4950.35,51.94,0.0,5002.29,408.40
