Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2869.23,158,18.16,159,19.53,158,18.16,11.39
Table Service,2081.12,149,13.97,63,35.76,63,33.03,38.94
Total,4950.35,307,16.12,222,24.14,221,22.40,19.24
