Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,64,2081.12,34.04,2115.16,171.64
Drive Thru,128,2442.3,16.09,2458.39,201.55
Take Out,29,426.93,1.81,428.74,35.21
Total,221,4950.35,51.94,5002.29,408.40
