Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2742.0,9907.52,42.23,0.0,9949.75,816.21
Total,2742.0,9907.52,42.23,0.0,9949.75,816.21
