Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,4139.77,246,16.83,246,18.21,246,16.83,10.38
Table Service,5767.75,452,12.76,190,32.86,162,35.60,39.90
Total,9907.52,698,14.19,436,24.60,408,24.28,22.10
