Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2893.03,161,17.97,162,19.33,161,17.97,11.10
Table Service,3553.7,256,13.88,99,38.86,83,42.82,52.63
Total,6446.73,417,15.46,261,26.74,244,26.42,25.22
