Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,85,3566.89,74.97,3641.86,294.27
Drive Thru,129,2312.89,19.48,2332.37,190.89
Take Out,30,566.95,3.17,570.12,46.77
Total,244,6446.73,97.62,6544.35,531.93
