Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2811.55,248,11.34,246,12.37,242,11.62,7.82
Table Service,867.84,78,11.13,52,18.06,47,18.46,31.97
Total,3679.39,326,11.29,298,13.36,289,12.73,11.75
