Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,52,881.27,25.17,906.44,72.6
Drive Thru,184,2082.93,7.27,2090.2,171.55
Take Out,52,699.95,9.14,709.09,57.64
Online Ordering - Takeout,1,15.24,0.0,15.24,1.26
Total,289,3679.39,41.58,3720.97,303.05
