Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,396.0,1892.47,15.55,0.0,1908.02,156.13
Drive Thru,342.0,1146.13,19.45,0.0,1165.58,94.59
No Revenue Center,26.0,61.19,24.84,0.0,86.03,5.05
Total,764.0,3099.79,59.84,0.0,3159.63,255.77
