Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,54,1606.2,39.13,1645.33,132.5
Drive Thru,108,1323.79,20.71,1344.5,109.25
Take Out,8,169.8,0.0,169.8,14.02
Total,170,3099.79,59.84,3159.63,255.77
