Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1493.59,118,12.66,116,13.94,118,12.66,14.28
Table Service,1606.2,115,13.97,58,29.98,52,30.89,39.26
Total,3099.79,233,13.30,174,19.28,170,18.23,21.92
