Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,77,2210.96,0.0,2210.96,182.36
Drive Thru,167,2300.05,0.0,2300.05,189.54
Take Out,36,726.96,6.96,733.92,59.93
Total,280,5237.97,6.96,5244.93,431.83
