Hour of day,Net sales,Total orders,Total guests
9,561.47,31,48
16,114.76,6,10
11,843.9,40,64
8,395.81,33,36
19,54.56,5,5
18,116.18,6,8
10,1201.4,50,78
15,285.78,16,19
7,182.66,15,19
17,217.92,11,12
14,146.52,10,10
6,126.95,9,12
13,346.93,19,25
12,643.13,29,46
