Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2510.0,7860.03,142.97,0.0,8003.0,647.89
Total,2510.0,7860.03,142.97,0.0,8003.0,647.89
