Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,145,5283.17,117.3,5400.47,435.49
Drive Thru,129,2184.2,21.72,2205.92,180.05
Take Out,25,392.66,3.95,396.61,32.35
Total,299,7860.03,142.97,8003.00,647.89
