Hour of day,Net sales,Total orders,Total guests
10,1818.76,66,137
8,398.53,27,35
12,994.3,46,73
9,1146.34,48,87
13,1019.26,31,86
14,745.79,17,45
11,1727.7,63,122
7,9.35,1,1
