Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2579.25,156,16.53,156,17.90,156,16.53,16.42
Table Service,5280.78,430,12.28,167,34.23,143,36.93,40.36
Total,7860.03,586,13.41,323,26.34,299,26.29,27.87
