Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,85,2341.27,57.81,2399.08,192.99
Drive Thru,182,2123.96,6.01,2129.97,174.96
Take Out,21,251.87,0.0,251.87,20.74
Total,288,4717.10,63.82,4780.92,388.69
