Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2392.81,205,11.67,205,12.63,205,11.67,8.73
Table Service,2324.29,161,14.44,107,23.51,83,28.00,39.16
Total,4717.10,366,12.89,312,16.36,288,16.38,17.50
