Hour of day,Net sales,Total orders,Total guests
6,209.71,23,25
18,110.01,6,6
8,276.59,30,33
16,186.95,15,15
13,187.87,15,16
10,346.21,28,33
19,71.69,4,4
14,177.59,14,16
17,194.45,10,11
9,435.58,35,42
15,189.49,10,13
7,233.55,31,32
11,412.55,27,29
12,460.98,29,42
