Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2490.99,228,10.93,232,11.62,228,10.93,4.89
Table Service,1002.23,89,11.26,53,20.47,49,20.45,32.99
Total,3493.22,317,11.02,285,13.27,277,12.61,9.86
