Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,602.0,2053.51,2.55,0.0,2056.06,169.24
Drive Thru,476.0,1439.71,2.7,0.0,1442.41,118.59
Total,1078.0,3493.22,5.25,0.0,3498.47,287.83
