Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,115,3086.76,29.34,3116.1,254.36
Drive Thru,197,2243.15,6.97,2250.12,184.76
Take Out,25,354.59,4.8,359.39,29.22
Total,337,5684.50,41.11,5725.61,468.34
