Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1230.0,4700.87,41.11,0.0,4741.98,387.45
NA Beverage,388.0,864.84,0.0,0.0,864.84,71.06
Liquor,21.0,110.81,0.0,0.0,110.81,9.17
Bottled Beer,2.0,7.98,0.0,0.0,7.98,0.66
Total,1641.0,5684.50,41.11,0.0,5725.61,468.34
