Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2597.74,224,11.60,224,12.55,224,11.60,6.09
Table Service,3086.76,236,13.08,128,26.10,113,27.32,41.22
Total,5684.50,460,12.36,352,17.48,337,16.87,17.87
