Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1641.0,5684.5,41.11,0.0,5725.61,468.34
Total,1641.0,5684.5,41.11,0.0,5725.61,468.34
