Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,671.0,2897.94,55.15,0,2953.09,239.06
NA Beverage,226.0,632.34,4.28,0,636.62,52.13
Liquor,1.0,3.99,0.0,0,3.99,0.33
Draft Beer,1.0,3.69,0.0,0,3.69,0.3
Total,899.0,3537.96,59.43,0,3597.39,291.82
